Loan_ID,LoanAmount,Loan_Amount_Term,Credit_History,Self_Employed,ApplicantIncome,CoapplicantIncome,Dependents,Married,Education,Property_Area,Loan_Status
LPP002991,145.0,360.0,0.0,No,5849,0.0,0,No,Graduate,Urban,Y
LPP002992,128.0,360.0,0.0,No,4583,1508.0,1,Yes,Graduate,Rural,N
LPP002993,66.0,360.0,0.0,Yes,3000,0.0,0,Yes,Graduate,Urban,Y
LPP002994,120.0,360.0,0.0,No,2583,2358.0,0,Yes,Not Graduate,Urban,Y
LPP002995,141.0,360.0,0.0,No,6000,0.0,0,No,Graduate,Urban,Y
LPP002996,267.0,360.0,0.0,Yes,5417,4196.0,2,Yes,Graduate,Urban,Y
LPP002997,95.0,360.0,0.0,No,2333,1516.0,0,Yes,Not Graduate,Urban,Y
LPP002998,158.0,360.0,0.0,No,3036,2504.0,3+,Yes,Graduate,Semiurban,N
LPP002999,168.0,360.0,0.0,No,4006,1526.0,2,Yes,Graduate,Urban,Y
LPP003000,349.0,360.0,0.0,No,12841,10968.0,1,Yes,Graduate,Semiurban,N
LPP003001,70.0,360.0,0.0,No,3200,700.0,2,Yes,Graduate,Urban,Y
LPP003002,109.0,360.0,0.0,No,2500,1840.0,2,Yes,Graduate,Urban,Y
LPP003003,200.0,360.0,0.0,No,3073,8106.0,2,Yes,Graduate,Urban,Y
LPP003004,114.0,360.0,0.0,No,1853,2840.0,0,No,Graduate,Rural,N
LPP003005,17.0,120.0,0.0,No,1299,1086.0,2,Yes,Graduate,Urban,Y
LPP003006,125.0,360.0,0.0,No,4950,0.0,0,No,Graduate,Urban,Y
LPP003007,100.0,240.0,0.0,No,3596,0.0,1,No,Not Graduate,Urban,Y
LPP003008,76.0,360.0,0.0,No,3510,0.0,0,No,Graduate,Urban,N
LPP003009,133.0,360.0,0.0,No,4887,0.0,0,Yes,Not Graduate,Rural,N
LPP003010,115.0,342.0,0.0,No,2600,3500.0,0,Yes,Graduate,Urban,Y
LPP003011,104.0,360.0,0.0,No,7660,0.0,0,Yes,Not Graduate,Urban,N
LPP003012,315.0,360.0,0.0,No,5955,5625.0,1,Yes,Graduate,Urban,Y
LPP003013,116.0,360.0,0.0,No,2600,1911.0,0,Yes,Not Graduate,Semiurban,N
LPP003014,112.0,360.0,0.0,No,3365,1917.0,2,Yes,Not Graduate,Rural,N
LPP003015,151.0,360.0,0.0,No,3717,2925.0,1,Yes,Graduate,Semiurban,N
LPP003016,191.0,360.0,0.0,Yes,9560,0.0,0,Yes,Graduate,Semiurban,Y
LPP003017,122.0,360.0,0.0,No,2799,2253.0,0,Yes,Graduate,Semiurban,Y
