id,date,product,price,quantity
1,10/24/2021,Lettuce - Boston Bib - Organic,8.8,1
2,10/21/2021,Wine - Cave Springs Dry Riesling,10.2,3
3,10/18/2021,Cookie Dough - Peanut Butter,10.9,1
4,10/19/2021,Triple Sec - Mcguinness,14.2,5
5,10/23/2021,Beer - Sleemans Honey Brown,16.8,5
6,10/18/2021,Syrup - Kahlua Chocolate,8.1,5
7,10/18/2021,Cake - Cake Sheet Macaroon,18.0,3
8,10/18/2021,Cherries - Frozen,5.5,2
9,10/22/2021,Devonshire Cream,15.9,2
10,10/22/2021,Pur Source,7.9,3
11,10/21/2021,Leeks - Large,12.2,4
12,10/18/2021,Tea - Apple Green Tea,1.6,4
13,10/20/2021,Artichoke - Fresh,1.0,1
14,10/24/2021,Beets - Golden,2.6,2
15,10/18/2021,Oneshot Automatic Soap System,16.1,2
16,10/19/2021,Veal - Sweetbread,14.0,5
17,10/21/2021,Latex Rubber Gloves Size 9,13.0,3
18,10/24/2021,Trueblue - Blueberry 12x473ml,10.4,5
19,10/22/2021,Pea - Snow,13.1,1
20,10/23/2021,Pork - Side Ribs,14.4,3
21,10/20/2021,Ecolab - Ster Bac,18.7,3
22,10/23/2021,Lamb Shoulder Boneless Nz,18.3,5
23,10/18/2021,"Butter - Salted, Micro",17.6,1
24,10/18/2021,Appetizer - Chicken Satay,14.7,5
25,10/24/2021,Zucchini - Yellow,11.5,3
26,10/21/2021,Wine - Malbec Trapiche Reserve,5.6,3
27,10/22/2021,Nescafe - Frothy French Vanilla,12.9,3
28,10/22/2021,"Red Snapper - Fresh, Whole",14.5,1
29,10/20/2021,Beef - Diced,6.0,2
30,10/21/2021,Cookie Dough - Oatmeal Rasin,3.5,3
31,10/20/2021,Cake Slab,10.5,1
32,10/18/2021,Goulash Seasoning,8.3,3
33,10/19/2021,Anisette - Mcguiness,14.8,5
34,10/19/2021,Towel Dispenser,14.2,4
35,10/23/2021,Chips - Miss Vickies,19.3,5
36,10/18/2021,Bagelers - Cinn / Brown Sugar,4.5,4
37,10/19/2021,Beef - Short Loin,16.7,4
38,10/19/2021,Dried Cherries,8.1,4
39,10/18/2021,Appetizer - Shrimp Puff,18.5,1
40,10/21/2021,Extract - Almond,18.8,4
41,10/24/2021,Sauce - Oyster,3.8,1
42,10/21/2021,Container - Hngd Cll Blk 7x7x3,4.9,1
43,10/24/2021,Yoplait Drink,13.5,4
44,10/19/2021,Wine - Taylors Reserve,15.1,4
45,10/20/2021,Juice - Mango,14.8,1
46,10/20/2021,"Soup - Knorr, Chicken Noodle",3.7,5
47,10/18/2021,"Pepper - Paprika, Hungarian",14.3,1
48,10/24/2021,Yoghurt Tubes,3.4,1
49,10/23/2021,"Pork - Loin, Bone - In",8.9,3
50,10/19/2021,Oil - Peanut,6.4,4
51,10/18/2021,"Vermacelli - Sprinkles, Assorted",10.1,1
52,10/20/2021,Higashimaru Usukuchi Soy,10.3,5
53,10/18/2021,Sole - Iqf,8.2,1
54,10/20/2021,Wine - Black Tower Qr,19.5,2
55,10/19/2021,Beef - Top Butt,19.4,4
56,10/21/2021,"Placemat - Scallop, White",4.8,4
57,10/18/2021,Muffin Orange Individual,4.5,1
