emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,id
-1.8,93.876,-40.0,0.684,5008.7,8302
-1.8,93.749,-34.6,0.642,5008.7,1681
1.1,93.994,-36.4,4.857,5191.0,21401
1.1,93.994,-36.4,4.86,5191.0,24305
1.1,93.994,-36.4,4.857,5191.0,38068
1.1,93.994,-36.4,4.856,5191.0,16624
1.4,93.444,-36.1,4.97,5228.1,8235
-1.8,93.075,-47.1,1.405,5099.1,5470
-0.1,93.2,-42.0,4.021,5195.8,23600
1.4,93.444,-36.1,4.966,5228.1,26300
-1.8,93.075,-47.1,1.365,5099.1,5528
-3.4,92.431,-26.9,0.742,5017.5,10541
1.4,94.465,-41.8,4.864,5228.1,16140
1.1,93.994,-36.4,4.857,5191.0,33297
1.4,94.465,-41.8,4.8660000000000005,5228.1,5446
1.4,93.91799999999999,-42.7,4.963,5228.1,4589
1.1,93.994,-36.4,4.855,5191.0,21895
-1.8,92.89299999999999,-46.2,1.244,5099.1,7866
1.4,93.91799999999999,-42.7,4.962,5228.1,19095
1.4,93.444,-36.1,4.966,5228.1,32025
1.4,94.465,-41.8,4.961,5228.1,18323
-3.4,92.649,-30.1,0.722,5017.5,31706
1.4,93.444,-36.1,4.965,5228.1,4994
-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,3332
1.4,93.444,-36.1,4.963,5228.1,18236
1.4,93.444,-36.1,4.966,5228.1,24163
1.4,93.444,-36.1,4.968,5228.1,24258
-3.0,92.713,-33.0,0.7120000000000001,5023.5,3383
1.1,93.994,-36.4,4.857,5191.0,23193
-1.8,92.89299999999999,-46.2,1.291,5099.1,6899
1.1,93.994,-36.4,4.864,5191.0,26941
-0.1,93.2,-42.0,4.1530000000000005,5195.8,17004
1.1,93.994,-36.4,4.855,5191.0,9145
1.4,94.465,-41.8,4.96,5228.1,13079
1.4,93.444,-36.1,4.963,5228.1,13612
1.4,94.465,-41.8,4.959,5228.1,23320
1.1,93.994,-36.4,4.855,5191.0,10843
-1.8,92.89299999999999,-46.2,1.291,5099.1,32280
-0.1,93.2,-42.0,4.021,5195.8,3742
1.4,94.465,-41.8,4.967,5228.1,15789
1.1,93.994,-36.4,4.859,5191.0,241
