age,job,marital,education,default,housing,loan,id
52,management,married,university.degree,no,no,no,8302
45,management,married,unknown,no,yes,no,1681
37,blue-collar,married,unknown,no,no,no,21401
29,admin.,married,university.degree,no,yes,no,24305
47,blue-collar,married,unknown,unknown,no,no,38068
39,blue-collar,married,Basic,no,no,no,16624
32,technician,married,university.degree,no,yes,no,8235
38,admin.,married,university.degree,no,yes,no,5470
31,unemployed,single,Basic,no,yes,yes,23600
45,self-employed,married,Basic,unknown,no,no,26300
35,technician,married,professional.course,no,no,no,5528
32,admin.,married,professional.course,no,yes,no,10541
34,management,married,university.degree,no,no,no,16140
35,services,married,high.school,no,yes,no,33297
47,entrepreneur,married,professional.course,unknown,unknown,unknown,5446
40,blue-collar,married,Basic,no,yes,no,4589
25,self-employed,single,university.degree,no,unknown,unknown,21895
36,admin.,married,high.school,unknown,no,no,7866
27,blue-collar,single,Basic,no,unknown,unknown,19095
42,technician,divorced,professional.course,no,yes,yes,32025
42,blue-collar,divorced,high.school,no,no,no,18323
64,housemaid,married,Basic,no,yes,no,31706
58,admin.,married,university.degree,no,yes,no,4994
47,blue-collar,married,Basic,unknown,yes,no,3332
51,admin.,married,university.degree,no,yes,no,18236
31,technician,single,high.school,no,no,no,24163
37,management,married,university.degree,no,yes,no,24258
76,retired,married,university.degree,no,no,no,3383
36,blue-collar,married,Basic,no,yes,no,23193
45,blue-collar,married,Basic,no,yes,no,6899
41,housemaid,married,university.degree,unknown,no,no,26941
34,technician,married,Basic,no,yes,no,17004
33,technician,single,high.school,no,no,yes,9145
42,blue-collar,married,Basic,no,no,no,13079
44,admin.,married,high.school,unknown,no,no,13612
36,admin.,married,university.degree,no,yes,no,23320
40,blue-collar,married,Basic,no,no,no,10843
35,admin.,married,high.school,no,yes,no,32280
53,retired,married,high.school,no,no,no,3742
39,management,married,university.degree,no,yes,no,15789
35,admin.,married,high.school,unknown,yes,no,241
36,admin.,married,high.school,no,no,no,4905
37,blue-collar,married,Basic,no,no,no,30095
32,self-employed,single,professional.course,no,unknown,unknown,35637
53,blue-collar,married,Basic,no,no,yes,17904
49,blue-collar,single,Basic,no,no,no,37986
30,admin.,single,university.degree,no,no,yes,39884
41,admin.,married,Basic,unknown,no,no,4473
35,blue-collar,married,Basic,no,yes,no,39552
59,housemaid,divorced,Basic,unknown,no,no,5813
27,technician,single,high.school,no,yes,no,36213
55,admin.,married,unknown,no,yes,yes,23907
38,management,married,university.degree,no,yes,no,16802
32,management,single,university.degree,unknown,yes,yes,34775
42,technician,divorced,Basic,no,no,no,30381
27,student,single,university.degree,no,yes,no,24919
54,entrepreneur,married,high.school,no,yes,no,9015
44,management,divorced,university.degree,no,yes,yes,2372
35,technician,single,high.school,no,yes,no,13648
29,admin.,married,university.degree,no,no,no,13721
35,services,married,high.school,no,no,no,13684
33,unemployed,married,university.degree,no,yes,no,40457
49,retired,divorced,professional.course,no,yes,yes,30781
39,technician,married,professional.course,no,no,no,26290
34,entrepreneur,single,university.degree,no,no,no,32967
30,technician,single,university.degree,no,no,no,13723
33,blue-collar,single,high.school,no,no,no,21450
24,services,single,professional.course,no,yes,no,14383
36,blue-collar,married,Basic,no,no,no,34961
28,admin.,divorced,high.school,no,no,yes,19643
46,blue-collar,single,Basic,no,yes,no,5168
45,services,divorced,high.school,no,yes,no,26620
42,technician,single,Basic,no,yes,no,5065
43,admin.,married,high.school,no,yes,yes,25227
43,admin.,married,university.degree,no,no,no,30917
52,self-employed,married,university.degree,no,no,no,13824
51,management,married,high.school,unknown,no,no,9394
33,technician,married,high.school,no,no,no,10443
32,management,single,university.degree,no,no,no,8466
33,admin.,single,high.school,no,yes,no,39657
41,blue-collar,married,Basic,unknown,yes,no,16301
51,blue-collar,married,professional.course,no,no,yes,17604
31,technician,single,university.degree,no,unknown,unknown,28461
39,admin.,single,high.school,no,no,no,31944
51,entrepreneur,married,university.degree,no,yes,no,39937
41,blue-collar,married,Basic,no,yes,no,31467
71,retired,married,high.school,no,yes,no,24322
51,unemployed,married,Basic,unknown,yes,no,32291
28,admin.,single,high.school,no,no,no,35853
57,management,married,university.degree,no,yes,no,5852
31,blue-collar,married,Basic,no,no,no,37702
47,technician,married,university.degree,no,yes,no,2330
50,admin.,married,Basic,no,no,no,1146
42,blue-collar,married,Basic,unknown,yes,no,36147
34,self-employed,married,university.degree,no,yes,no,413
25,entrepreneur,single,Basic,no,no,no,7644
54,admin.,married,high.school,no,unknown,unknown,27038
27,entrepreneur,married,university.degree,no,yes,no,20844
50,admin.,married,university.degree,no,yes,no,2140
29,technician,married,university.degree,no,yes,no,18289
39,blue-collar,married,Basic,no,no,no,19784
33,technician,single,high.school,no,yes,no,24110
31,technician,married,university.degree,no,no,no,8877
51,entrepreneur,divorced,university.degree,no,no,no,25223
56,services,married,Basic,unknown,yes,no,15079
53,admin.,single,university.degree,no,no,yes,30964
44,technician,married,professional.course,no,no,no,37989
50,admin.,married,high.school,no,yes,no,18333
50,admin.,married,high.school,no,yes,yes,13791
48,technician,married,professional.course,unknown,no,no,28149
