contact,month,day_of_week,campaign,pdays,previous,poutcome,id
cellular,aug,tue,1,999,0,nonexistent,26150
cellular,aug,wed,2,999,0,nonexistent,23092
cellular,may,mon,1,999,0,nonexistent,1207
cellular,nov,tue,1,999,1,failure,30118
cellular,aug,thu,2,999,0,nonexistent,17843
telephone,may,fri,2,999,0,nonexistent,23901
cellular,aug,thu,3,999,0,nonexistent,8136
telephone,jun,mon,1,999,0,nonexistent,30701
cellular,may,thu,6,999,0,nonexistent,214
cellular,jun,tue,2,13,1,success,25682
cellular,aug,fri,1,999,0,nonexistent,12325
cellular,jul,wed,3,999,0,nonexistent,9016
cellular,aug,thu,3,999,0,nonexistent,24415
telephone,may,mon,1,999,0,nonexistent,11835
telephone,jun,mon,2,999,0,nonexistent,21335
cellular,nov,tue,1,999,0,nonexistent,20665
cellular,nov,thu,2,999,1,failure,40434
cellular,aug,tue,2,999,0,nonexistent,23134
telephone,nov,mon,2,999,0,nonexistent,9587
telephone,may,thu,1,999,0,nonexistent,3008
telephone,may,fri,2,999,0,nonexistent,33157
telephone,may,wed,3,999,0,nonexistent,32642
telephone,jun,thu,10,999,0,nonexistent,32116
cellular,aug,mon,1,999,0,nonexistent,3233
cellular,apr,mon,3,999,0,nonexistent,38144
cellular,aug,wed,3,999,0,nonexistent,5105
cellular,jul,wed,1,999,0,nonexistent,14532
cellular,mar,tue,3,999,0,nonexistent,19596
cellular,may,thu,2,999,1,failure,35064
cellular,dec,mon,2,999,0,nonexistent,1371
telephone,jun,thu,1,999,0,nonexistent,3455
telephone,may,fri,1,999,0,nonexistent,30659
telephone,jul,tue,1,999,0,nonexistent,11824
cellular,nov,mon,1,999,0,nonexistent,1999
cellular,may,fri,1,999,0,nonexistent,4337
cellular,jul,mon,3,999,0,nonexistent,14449
cellular,jul,mon,5,999,0,nonexistent,34939
cellular,nov,tue,2,999,0,nonexistent,4675
cellular,may,fri,4,999,0,nonexistent,30679
cellular,may,tue,1,999,0,nonexistent,17702
telephone,jun,mon,2,999,0,nonexistent,6844
telephone,may,wed,2,999,0,nonexistent,17561
cellular,oct,tue,1,999,0,nonexistent,1998
cellular,aug,thu,1,999,0,nonexistent,23232
cellular,jul,wed,2,999,0,nonexistent,25576
cellular,nov,wed,2,999,0,nonexistent,9791
cellular,aug,tue,1,999,0,nonexistent,23486
cellular,may,tue,1,999,0,nonexistent,31029
cellular,jul,thu,2,999,0,nonexistent,4434
cellular,jul,mon,2,999,0,nonexistent,32905
cellular,may,mon,2,999,0,nonexistent,10143
telephone,may,thu,9,999,0,nonexistent,14806
cellular,nov,thu,1,999,0,nonexistent,30291
cellular,jul,thu,5,999,0,nonexistent,13559
telephone,may,wed,1,999,0,nonexistent,27069
cellular,may,thu,1,999,0,nonexistent,24029
telephone,may,fri,3,999,0,nonexistent,10734
telephone,may,tue,2,999,0,nonexistent,36002
cellular,jul,thu,2,999,0,nonexistent,28023
telephone,jun,wed,14,999,0,nonexistent,35787
telephone,oct,tue,1,999,1,failure,25243
cellular,nov,wed,1,5,1,success,13250
cellular,jul,wed,1,999,0,nonexistent,33697
telephone,jun,fri,14,999,0,nonexistent,25831
cellular,apr,mon,4,999,0,nonexistent,13002
telephone,may,fri,8,999,0,nonexistent,22348
cellular,may,wed,1,11,1,success,39396
cellular,apr,wed,2,999,0,nonexistent,6384
cellular,may,fri,5,999,0,nonexistent,17621
cellular,jul,wed,1,999,0,nonexistent,21084
cellular,nov,mon,2,999,0,nonexistent,3990
telephone,may,fri,1,999,0,nonexistent,8137
telephone,may,fri,3,999,0,nonexistent,1005
telephone,jun,thu,2,999,0,nonexistent,14200
cellular,may,mon,1,999,1,failure,2628
cellular,jul,tue,3,999,0,nonexistent,15417
telephone,jun,tue,1,999,0,nonexistent,10068
telephone,jun,tue,1,999,0,nonexistent,14720
cellular,jul,thu,3,999,0,nonexistent,17582
cellular,jul,mon,1,999,0,nonexistent,38263
telephone,jun,fri,4,999,0,nonexistent,11432
cellular,aug,wed,1,999,0,nonexistent,30844
telephone,may,tue,2,999,0,nonexistent,27622
telephone,nov,tue,1,999,0,nonexistent,34849
cellular,apr,fri,1,999,0,nonexistent,29167
telephone,may,fri,4,999,0,nonexistent,16906
telephone,may,wed,1,999,0,nonexistent,24499
cellular,jul,thu,1,999,0,nonexistent,29551
telephone,jun,thu,1,999,0,nonexistent,32326
cellular,may,fri,2,999,2,failure,14509
