age,job,marital,education,default,housing,loan,id
29,management,single,university.degree,no,no,no,26150
54,technician,married,basic.9y,no,no,no,23092
31,management,single,university.degree,no,yes,yes,1207
36,housemaid,divorced,basic.9y,no,yes,no,30118
56,retired,married,high.school,unknown,yes,no,17843
55,blue-collar,married,basic.6y,unknown,no,no,23901
46,admin.,married,university.degree,no,yes,no,8136
48,entrepreneur,married,basic.4y,no,no,yes,30701
29,blue-collar,married,basic.9y,unknown,yes,no,214
29,admin.,married,high.school,no,yes,no,25682
54,admin.,married,high.school,no,yes,no,12325
48,services,married,professional.course,unknown,yes,yes,9016
45,blue-collar,married,basic.6y,unknown,yes,no,24415
42,blue-collar,married,basic.4y,unknown,yes,no,11835
29,admin.,single,university.degree,no,no,no,21335
30,unemployed,married,high.school,no,no,no,20665
55,management,divorced,university.degree,no,no,no,40434
43,admin.,divorced,university.degree,unknown,no,no,23134
41,admin.,divorced,university.degree,no,yes,no,9587
45,unknown,married,unknown,no,yes,no,3008
29,management,single,university.degree,no,yes,no,33157
30,student,single,high.school,unknown,no,no,32642
41,technician,married,university.degree,no,unknown,unknown,32116
38,admin.,single,high.school,no,yes,yes,3233
37,blue-collar,married,high.school,no,yes,no,38144
34,unknown,married,unknown,unknown,no,no,5105
31,unemployed,single,high.school,no,yes,no,14532
31,admin.,married,university.degree,no,yes,no,19596
28,technician,single,university.degree,no,yes,yes,35064
48,admin.,married,university.degree,no,no,no,1371
48,management,married,university.degree,no,no,yes,3455
52,management,married,professional.course,no,no,no,30659
38,unemployed,married,basic.4y,unknown,yes,no,11824
48,admin.,single,university.degree,no,no,no,1999
57,retired,single,university.degree,no,no,no,4337
43,entrepreneur,married,university.degree,no,yes,no,14449
36,blue-collar,married,basic.9y,no,yes,no,34939
47,services,married,high.school,no,no,no,4675
25,admin.,single,high.school,no,yes,yes,30679
42,admin.,married,high.school,no,yes,no,17702
48,unemployed,divorced,basic.4y,no,no,yes,6844
33,blue-collar,married,basic.9y,no,yes,no,17561
80,retired,divorced,basic.4y,no,no,no,1998
30,technician,married,professional.course,unknown,yes,no,23232
52,admin.,married,basic.9y,no,no,no,25576
31,admin.,married,university.degree,no,no,no,9791
54,management,married,university.degree,unknown,no,no,23486
