emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,id
1.1,93.994,-36.4,4.864,5191.0,14286
1.4,94.465,-41.8,4.967,5228.1,22110
-0.1,93.2,-42.0,4.2860000000000005,5195.8,31123
-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,21491
-2.9,92.20100000000001,-31.4,0.884,5076.2,30064
1.4,93.91799999999999,-42.7,4.962,5228.1,40921
1.4,93.91799999999999,-42.7,4.958,5228.1,676
1.4,93.444,-36.1,4.965,5228.1,27530
1.1,93.994,-36.4,4.864,5191.0,13851
1.4,94.465,-41.8,4.865,5228.1,31077
1.4,93.91799999999999,-42.7,4.961,5228.1,31715
-0.1,93.2,-42.0,4.0760000000000005,5195.8,24400
1.4,93.444,-36.1,4.968,5228.1,26545
-0.1,93.2,-42.0,4.12,5195.8,16104
-0.1,93.2,-42.0,4.021,5195.8,24885
-1.8,93.075,-47.1,1.453,5099.1,26047
-2.9,92.20100000000001,-31.4,0.8340000000000001,5076.2,33905
-1.8,92.89299999999999,-46.2,1.334,5099.1,33991
1.1,93.994,-36.4,4.86,5191.0,3605
-1.8,93.749,-34.6,0.659,5008.7,24768
1.4,94.465,-41.8,4.967,5228.1,18754
1.4,94.465,-41.8,4.967,5228.1,32803
1.4,93.444,-36.1,4.965,5228.1,17381
-3.4,92.37899999999999,-29.8,0.8190000000000001,5017.5,34453
-1.8,92.89299999999999,-46.2,1.354,5099.1,9447
1.4,93.444,-36.1,4.9639999999999995,5228.1,3162
1.4,94.465,-41.8,4.967,5228.1,40382
-1.8,92.89299999999999,-46.2,1.327,5099.1,40428
1.4,93.444,-36.1,4.965,5228.1,4993
-1.8,92.89299999999999,-46.2,1.281,5099.1,39213
1.1,93.994,-36.4,4.856,5191.0,8741
1.1,93.994,-36.4,4.8580000000000005,5191.0,34213
1.4,93.444,-36.1,4.965,5228.1,18514
1.1,93.994,-36.4,4.857,5191.0,9754
-3.4,92.431,-26.9,0.74,5017.5,8528
1.4,93.91799999999999,-42.7,4.957,5228.1,7595
-1.8,92.89299999999999,-46.2,1.244,5099.1,20937
-0.1,93.2,-42.0,4.021,5195.8,15428
1.4,93.91799999999999,-42.7,4.958,5228.1,17755
1.1,93.994,-36.4,4.857,5191.0,21422
1.4,93.91799999999999,-42.7,4.961,5228.1,13568
-3.4,92.37899999999999,-29.8,0.7809999999999999,5017.5,2943
1.1,93.994,-36.4,4.857,5191.0,34899
1.1,93.994,-36.4,4.856,5191.0,28752
1.1,93.994,-36.4,4.86,5191.0,40458
1.1,93.994,-36.4,4.86,5191.0,490
1.4,93.444,-36.1,4.965,5228.1,29150
-2.9,92.20100000000001,-31.4,0.884,5076.2,13896
1.4,93.444,-36.1,4.965,5228.1,1363
1.4,93.444,-36.1,4.967,5228.1,20322
-1.8,92.84299999999999,-50.0,1.757,5099.1,21850
1.1,93.994,-36.4,4.864,5191.0,6482
1.4,93.91799999999999,-42.7,4.968,5228.1,38347
1.4,94.465,-41.8,4.961,5228.1,35314
1.1,93.994,-36.4,4.859,5191.0,3007
-1.8,93.075,-47.1,1.41,5099.1,25394
-0.1,93.2,-42.0,4.12,5195.8,13275
-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,16739
1.4,93.444,-36.1,4.9639999999999995,5228.1,6112
-1.1,94.601,-49.5,0.993,4963.6,34271
-1.8,93.075,-47.1,1.405,5099.1,10701
-0.1,93.2,-42.0,4.0760000000000005,5195.8,12898
1.1,93.994,-36.4,4.86,5191.0,12772
1.1,93.994,-36.4,4.857,5191.0,11439
-1.8,93.075,-47.1,1.423,5099.1,32743
1.4,94.465,-41.8,4.962,5228.1,354
-2.9,92.963,-40.8,1.262,5076.2,23790
