contact,month,day_of_week,campaign,pdays,previous,poutcome,id
telephone,may,fri,8,999,0,nonexistent,14286
telephone,jun,fri,6,999,0,nonexistent,22110
telephone,nov,wed,1,999,0,nonexistent,31123
cellular,may,fri,1,999,0,nonexistent,21491
cellular,aug,mon,1,999,1,failure,30064
cellular,jul,tue,2,999,0,nonexistent,40921
cellular,jul,thu,2,999,0,nonexistent,676
cellular,aug,wed,1,999,0,nonexistent,27530
telephone,may,fri,1,999,0,nonexistent,13851
telephone,jun,mon,1,999,0,nonexistent,31077
cellular,jul,tue,4,999,0,nonexistent,31715
cellular,nov,thu,2,999,0,nonexistent,24400
cellular,aug,tue,1,999,0,nonexistent,26545
cellular,nov,wed,1,999,0,nonexistent,16104
cellular,nov,fri,3,999,0,nonexistent,24885
cellular,apr,tue,1,999,0,nonexistent,26047
cellular,aug,wed,4,999,0,nonexistent,33905
cellular,may,wed,1,999,0,nonexistent,33991
telephone,may,thu,1,999,0,nonexistent,3605
cellular,apr,thu,1,18,1,success,24768
telephone,jun,fri,2,999,0,nonexistent,18754
telephone,jun,fri,1,999,0,nonexistent,32803
cellular,aug,mon,5,999,0,nonexistent,17381
cellular,sep,tue,1,999,0,nonexistent,34453
cellular,may,mon,3,999,0,nonexistent,9447
cellular,aug,wed,1,999,0,nonexistent,3162
telephone,jun,fri,1,999,0,nonexistent,40382
cellular,may,thu,2,999,0,nonexistent,40428
cellular,aug,mon,5,999,0,nonexistent,4993
cellular,may,wed,1,999,0,nonexistent,39213
telephone,may,tue,1,999,0,nonexistent,8741
telephone,may,wed,1,999,0,nonexistent,34213
cellular,aug,tue,6,999,0,nonexistent,18514
telephone,may,tue,1,999,0,nonexistent,9754
cellular,oct,thu,1,999,0,nonexistent,8528
cellular,jul,fri,2,999,0,nonexistent,7595
cellular,may,mon,3,999,1,failure,20937
cellular,nov,fri,1,999,0,nonexistent,15428
cellular,jul,thu,1,999,0,nonexistent,17755
telephone,may,fri,1,999,0,nonexistent,21422
telephone,jul,tue,2,999,0,nonexistent,13568
cellular,sep,wed,3,999,1,failure,2943
