age,job,marital,education,default,housing,loan,id
45,services,divorced,high.school,no,no,no,14286
41,blue-collar,married,basic.9y,unknown,no,no,22110
37,housemaid,married,university.degree,no,yes,no,31123
58,management,single,university.degree,no,no,yes,21491
38,technician,married,professional.course,no,no,no,30064
34,admin.,married,university.degree,no,no,yes,40921
59,retired,single,high.school,no,yes,no,676
58,admin.,married,university.degree,no,no,no,27530
30,blue-collar,single,basic.4y,unknown,no,no,13851
37,entrepreneur,married,basic.9y,no,yes,no,31077
33,admin.,married,high.school,unknown,yes,no,31715
30,admin.,divorced,high.school,no,yes,no,24400
53,technician,married,high.school,no,yes,no,26545
53,blue-collar,married,basic.9y,no,no,no,16104
34,admin.,married,university.degree,no,yes,yes,24885
38,blue-collar,married,basic.4y,no,no,no,26047
42,retired,divorced,illiterate,no,no,no,33905
43,management,married,university.degree,no,yes,no,33991
34,management,married,university.degree,no,yes,no,3605
37,technician,married,professional.course,no,no,no,24768
34,services,married,high.school,unknown,no,no,18754
35,admin.,single,university.degree,no,yes,no,32803
32,technician,single,high.school,no,no,no,17381
28,management,single,university.degree,no,yes,no,34453
46,blue-collar,married,basic.6y,no,yes,no,9447
31,technician,married,university.degree,no,no,no,3162
41,blue-collar,married,basic.9y,unknown,yes,no,40382
36,blue-collar,married,unknown,no,no,no,40428
31,technician,divorced,high.school,no,no,no,4993
36,blue-collar,divorced,basic.9y,no,no,no,39213
56,admin.,married,high.school,no,no,no,8741
42,blue-collar,divorced,basic.4y,no,no,no,34213
38,admin.,married,university.degree,no,yes,no,18514
36,services,married,high.school,no,no,no,9754
49,admin.,single,university.degree,no,no,no,8528
49,technician,married,professional.course,no,yes,no,7595
37,self-employed,single,basic.4y,no,yes,no,20937
34,admin.,divorced,university.degree,no,no,no,15428
49,services,single,high.school,no,yes,yes,17755
33,services,single,high.school,no,unknown,unknown,21422
39,blue-collar,married,basic.4y,no,no,no,13568
62,retired,married,university.degree,no,yes,no,2943
36,blue-collar,single,basic.4y,no,yes,no,34899
43,admin.,married,university.degree,no,yes,no,28752
53,services,married,high.school,unknown,no,no,40458
47,technician,married,professional.course,no,yes,no,490
33,technician,married,professional.course,no,yes,no,29150
59,admin.,married,high.school,no,yes,no,13896
30,technician,married,high.school,no,yes,no,1363
34,technician,single,university.degree,no,yes,yes,20322
38,technician,married,professional.course,no,yes,no,21850
33,technician,unknown,professional.course,unknown,no,no,6482
36,blue-collar,single,high.school,no,yes,no,38347
28,technician,single,professional.course,no,no,yes,35314
26,services,single,high.school,no,no,no,3007
45,blue-collar,married,unknown,no,yes,yes,25394
37,entrepreneur,married,university.degree,no,no,no,13275
32,admin.,married,high.school,no,yes,no,16739
29,admin.,single,university.degree,no,yes,yes,6112
24,admin.,single,university.degree,no,yes,no,34271
29,technician,single,university.degree,no,no,no,10701
38,blue-collar,married,basic.9y,no,yes,no,12898
38,technician,single,professional.course,unknown,yes,no,12772
48,admin.,married,professional.course,no,yes,no,11439
71,retired,married,basic.4y,no,no,no,32743
29,technician,divorced,professional.course,no,yes,no,354
43,admin.,divorced,university.degree,no,yes,no,23790
24,management,single,university.degree,no,yes,no,33928
29,admin.,single,university.degree,no,no,no,34118
34,blue-collar,married,basic.9y,unknown,yes,no,21042
41,technician,married,university.degree,no,yes,yes,30571
40,admin.,single,university.degree,no,no,no,4215
50,management,married,basic.4y,no,yes,no,12233
42,blue-collar,married,basic.4y,no,no,no,7961
34,technician,single,professional.course,no,yes,no,21537
31,admin.,single,university.degree,no,yes,no,14266
41,admin.,married,high.school,no,no,no,24494
46,technician,married,professional.course,no,yes,yes,9203
33,admin.,married,university.degree,no,yes,yes,21046
25,student,single,high.school,no,yes,no,7091
35,blue-collar,single,basic.6y,no,yes,no,824
46,admin.,divorced,professional.course,no,no,yes,6974
42,admin.,married,university.degree,no,no,no,16207
48,management,married,university.degree,no,yes,yes,5741
46,management,married,university.degree,no,yes,no,35832
34,admin.,divorced,basic.9y,no,yes,no,25258
37,blue-collar,married,basic.9y,no,no,no,37241
34,housemaid,married,high.school,unknown,no,no,6628
42,entrepreneur,divorced,professional.course,no,yes,no,15627
46,admin.,married,high.school,no,yes,no,896
30,technician,single,university.degree,no,no,no,26381
42,blue-collar,married,basic.6y,no,yes,no,31531
35,admin.,married,university.degree,no,no,no,22919
42,technician,married,professional.course,unknown,yes,no,2809
40,admin.,single,university.degree,no,yes,yes,25761
68,retired,married,professional.course,no,no,yes,24992
32,blue-collar,married,basic.9y,no,no,no,30212
45,blue-collar,married,high.school,no,yes,no,25381
31,technician,married,university.degree,no,yes,no,21620
58,blue-collar,married,basic.6y,unknown,yes,no,31975
34,technician,single,high.school,no,yes,no,23009
35,blue-collar,married,basic.4y,no,yes,yes,14482
51,blue-collar,married,basic.9y,unknown,yes,no,11785
44,self-employed,married,university.degree,unknown,no,no,17905
48,blue-collar,married,basic.9y,no,unknown,unknown,18841
34,admin.,divorced,university.degree,no,yes,no,28065
42,admin.,married,high.school,unknown,yes,no,7499
51,admin.,married,high.school,no,no,yes,4799
34,admin.,single,university.degree,no,no,no,25847
59,admin.,married,university.degree,no,yes,no,17944
34,management,married,university.degree,no,no,no,3115
34,technician,married,university.degree,no,no,no,38374
26,services,divorced,basic.6y,no,yes,no,8871
46,self-employed,married,basic.9y,unknown,no,yes,26931
49,services,married,high.school,no,no,no,25925
33,services,single,basic.9y,no,no,no,7133
30,admin.,married,university.degree,no,yes,no,17572
29,management,divorced,basic.9y,no,yes,no,4021
43,services,married,basic.4y,no,yes,no,32202
40,blue-collar,married,basic.6y,unknown,yes,no,39691
43,unemployed,married,basic.4y,no,no,no,21888
45,admin.,married,university.degree,no,no,no,22897
35,technician,married,professional.course,no,yes,no,2906
36,retired,married,unknown,no,no,no,7151
48,services,married,high.school,no,no,no,6518
35,blue-collar,married,basic.6y,unknown,yes,no,36312
30,unemployed,married,university.degree,no,no,no,12104
50,blue-collar,married,basic.6y,unknown,yes,no,15357
26,services,single,high.school,unknown,yes,no,2161
31,management,married,university.degree,no,yes,no,8641
35,blue-collar,divorced,basic.9y,no,no,no,8507
28,technician,single,university.degree,no,yes,no,6096
37,blue-collar,married,basic.9y,unknown,no,no,24799
34,admin.,single,university.degree,no,yes,no,12579
24,services,single,professional.course,no,yes,no,34469
35,admin.,married,university.degree,no,yes,no,36772
50,technician,married,professional.course,no,no,no,31587
37,self-employed,single,university.degree,unknown,yes,no,24421
42,services,single,basic.6y,no,yes,yes,5345
38,technician,single,university.degree,no,no,no,15229
36,blue-collar,married,basic.9y,no,no,yes,39729
37,technician,married,high.school,unknown,yes,no,2493
59,retired,married,basic.9y,no,yes,no,6928
28,admin.,single,high.school,no,no,no,886
45,services,married,basic.9y,no,no,yes,7691
42,self-employed,married,university.degree,no,yes,no,11042
36,housemaid,single,university.degree,no,no,yes,22011
38,services,married,high.school,no,no,yes,37915
29,admin.,single,university.degree,no,yes,no,18855
25,services,single,unknown,no,yes,yes,10706
38,admin.,married,university.degree,no,yes,no,9978
26,admin.,married,high.school,unknown,no,no,22311
29,admin.,single,high.school,no,yes,no,28796
34,management,divorced,university.degree,no,yes,no,8041
46,self-employed,married,university.degree,no,no,no,16887
49,technician,married,professional.course,unknown,yes,no,10754
53,self-employed,married,basic.4y,no,no,no,29620
58,admin.,married,high.school,no,yes,no,35323
45,blue-collar,divorced,basic.4y,no,yes,no,688
42,blue-collar,married,basic.6y,no,yes,no,18800
37,services,divorced,high.school,no,no,no,9808
34,services,married,high.school,unknown,no,no,29793
48,blue-collar,married,professional.course,no,yes,no,9454
52,housemaid,single,university.degree,no,no,no,10736
27,admin.,single,university.degree,no,no,no,7500
49,admin.,divorced,high.school,no,no,no,5567
35,technician,single,professional.course,no,no,no,10725
27,student,single,high.school,unknown,no,no,10856
39,blue-collar,divorced,basic.9y,no,no,no,13159
42,services,single,unknown,no,yes,no,27252
52,technician,married,professional.course,no,no,no,7337
34,admin.,unknown,university.degree,no,yes,no,11595
28,blue-collar,married,basic.6y,no,yes,yes,22107
26,technician,single,high.school,no,no,no,6092
36,entrepreneur,divorced,high.school,no,yes,no,40741
46,services,divorced,basic.4y,no,no,no,2620
25,technician,single,professional.course,no,yes,no,15799
44,technician,divorced,professional.course,no,no,no,30757
30,admin.,married,university.degree,no,yes,yes,21970
59,services,divorced,basic.6y,no,yes,no,14279
46,technician,married,professional.course,no,unknown,unknown,5882
43,blue-collar,married,basic.6y,no,yes,no,30811
35,blue-collar,married,basic.4y,no,no,no,14182
29,admin.,married,high.school,no,yes,no,10421
33,admin.,married,university.degree,no,no,no,21327
44,technician,married,professional.course,no,no,no,17787
39,housemaid,married,basic.4y,no,no,no,37380
31,blue-collar,single,basic.9y,no,yes,no,1588
35,entrepreneur,married,high.school,no,no,no,30446
55,management,married,basic.4y,unknown,no,no,18108
32,admin.,married,university.degree,no,yes,no,21822
44,admin.,divorced,high.school,no,yes,no,33825
29,technician,single,university.degree,no,yes,no,10106
54,retired,divorced,university.degree,no,yes,no,37646
33,self-employed,single,university.degree,no,yes,no,18554
30,admin.,single,university.degree,no,no,no,23687
50,admin.,married,university.degree,no,unknown,unknown,160
30,admin.,single,high.school,no,no,no,41167
32,admin.,married,university.degree,no,no,no,2631
29,blue-collar,married,basic.9y,no,no,no,23613
22,student,single,high.school,no,no,yes,7893
38,technician,single,professional.course,unknown,no,no,39126
36,technician,divorced,professional.course,no,unknown,unknown,39602
41,technician,married,professional.course,no,yes,no,709
31,technician,married,university.degree,no,no,no,8406
37,services,single,high.school,no,no,no,728
34,blue-collar,married,basic.6y,no,no,no,20366
33,admin.,married,high.school,no,yes,no,36901
21,blue-collar,single,basic.9y,no,unknown,unknown,8812
31,blue-collar,married,basic.9y,no,no,no,15143
71,retired,married,basic.4y,no,no,no,20607
33,technician,single,university.degree,no,yes,no,28560
38,blue-collar,single,basic.4y,unknown,no,no,11226
50,management,married,university.degree,no,yes,no,32972
46,technician,married,basic.9y,unknown,yes,no,20045
33,self-employed,married,basic.9y,unknown,no,no,28206
54,housemaid,divorced,basic.4y,no,no,no,26205
34,technician,single,professional.course,no,no,no,38557
36,admin.,married,high.school,no,no,no,28008
36,blue-collar,married,basic.4y,unknown,yes,no,15974
38,technician,single,professional.course,no,yes,no,31936
23,blue-collar,single,basic.9y,no,yes,no,8505
33,admin.,single,university.degree,no,no,no,30330
22,student,single,basic.9y,no,no,no,40546
30,admin.,divorced,university.degree,no,yes,yes,8942
43,technician,married,professional.course,no,no,no,12622
46,admin.,married,unknown,unknown,yes,no,1336
34,management,single,basic.9y,no,no,no,6235
48,admin.,married,high.school,no,yes,no,39354
53,technician,married,professional.course,no,yes,no,33485
29,technician,married,professional.course,no,yes,no,21980
30,services,married,high.school,no,yes,no,11696
35,admin.,married,high.school,unknown,yes,no,27348
34,unemployed,married,university.degree,no,no,no,36840
36,technician,married,professional.course,unknown,yes,no,761
36,admin.,married,university.degree,no,no,no,18695
25,services,married,high.school,no,no,no,36161
35,blue-collar,married,unknown,no,no,no,30060
41,management,married,university.degree,no,yes,no,11
38,retired,divorced,basic.9y,unknown,yes,no,33367
34,admin.,single,university.degree,unknown,no,no,4632
50,retired,married,basic.4y,unknown,yes,no,447
39,admin.,married,high.school,no,no,no,5843
53,entrepreneur,divorced,university.degree,no,yes,no,16635
27,admin.,married,university.degree,no,yes,no,39240
31,technician,divorced,professional.course,no,yes,no,23372
36,admin.,single,university.degree,no,yes,no,35020
27,student,single,high.school,no,no,no,36374
36,blue-collar,married,basic.4y,unknown,yes,yes,38071
41,blue-collar,married,unknown,no,no,no,34501
36,technician,married,professional.course,no,yes,no,30155
40,blue-collar,married,basic.9y,unknown,yes,no,23595
37,technician,married,professional.course,no,no,no,26765
32,technician,married,university.degree,no,yes,no,22824
48,admin.,married,unknown,no,yes,yes,14748
53,blue-collar,married,basic.4y,no,no,no,22656
