emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,id
1.4,93.444,-36.1,4.963,5228.1,35704
-1.8,92.893,-46.2,1.281,5099.1,16354
1.4,93.918,-42.7,4.962,5228.1,10501
1.4,93.918,-42.7,4.962,5228.1,26419
1.4,94.465,-41.8,4.959,5228.1,15197
-2.9,92.201,-31.4,0.883,5076.2,40154
1.4,94.465,-41.8,4.958,5228.1,20899
-1.8,93.075,-47.1,1.405,5099.1,3
1.1,93.994,-36.4,4.856,5191.0,30607
-1.8,92.893,-46.2,1.244,5099.1,16762
1.4,94.465,-41.8,4.865,5228.1,11592
1.4,93.918,-42.7,4.963,5228.1,30301
1.4,93.918,-42.7,4.961,5228.1,27778
-1.8,93.075,-47.1,1.423,5099.1,29245
1.4,93.444,-36.1,4.966,5228.1,22410
1.4,93.444,-36.1,4.964,5228.1,3780
1.1,93.994,-36.4,4.859,5191.0,40619
1.4,93.918,-42.7,4.962,5228.1,34665
1.4,94.465,-41.8,4.864,5228.1,18564
1.1,93.994,-36.4,4.859,5191.0,15937
-1.8,93.075,-47.1,1.453,5099.1,14933
-1.8,93.369,-34.8,0.6459999999999999,5008.7,35441
1.4,93.444,-36.1,4.967,5228.1,27652
-3.4,92.431,-26.9,0.74,5017.5,23828
1.4,93.918,-42.7,4.962,5228.1,946
-1.8,93.075,-47.1,1.415,5099.1,21050
-1.8,92.893,-46.2,1.291,5099.1,4931
1.4,93.444,-36.1,4.963,5228.1,11133
-1.1,94.199,-37.5,0.878,4963.6,10718
1.1,93.994,-36.4,4.857,5191.0,4176
-1.8,92.893,-46.2,1.281,5099.1,36162
1.4,93.444,-36.1,4.968,5228.1,40025
1.4,93.444,-36.1,4.966,5228.1,26422
-1.8,92.893,-46.2,1.3130000000000002,5099.1,31479
-1.8,92.893,-46.2,1.344,5099.1,29583
1.4,93.918,-42.7,4.968,5228.1,34201
-1.7,94.215,-40.3,0.899,4991.6,33864
1.1,93.994,-36.4,4.856,5191.0,12926
-2.9,92.201,-31.4,0.883,5076.2,9946
-2.9,92.201,-31.4,0.884,5076.2,30705
-1.8,93.075,-47.1,1.41,5099.1,23455
-1.8,92.893,-46.2,1.266,5099.1,9395
-1.8,92.843,-50.0,1.52,5099.1,37043
1.1,93.994,-36.4,4.857,5191.0,6598
1.4,93.918,-42.7,4.957,5228.1,20514
1.4,94.465,-41.8,4.865,5228.1,22798
-1.8,92.893,-46.2,1.266,5099.1,39751
1.4,93.444,-36.1,4.967,5228.1,9299
-2.9,92.469,-33.6,0.908,5076.2,11828
1.1,93.994,-36.4,4.864,5191.0,34328
-1.8,92.893,-46.2,1.3130000000000002,5099.1,10137
1.1,93.994,-36.4,4.857,5191.0,37726
1.4,93.444,-36.1,4.963,5228.1,32770
1.4,93.444,-36.1,4.963,5228.1,7840
1.4,93.918,-42.7,4.96,5228.1,3428
1.1,93.994,-36.4,4.86,5191.0,36059
-1.8,92.893,-46.2,1.266,5099.1,8724
-1.8,92.893,-46.2,1.281,5099.1,1389
1.1,93.994,-36.4,4.859,5191.0,22859
1.1,93.994,-36.4,4.855,5191.0,39353
1.4,93.918,-42.7,4.96,5228.1,40055
1.4,93.918,-42.7,4.963,5228.1,21713
1.4,93.918,-42.7,4.968,5228.1,6403
-0.1,93.2,-42.0,4.12,5195.8,5450
1.4,93.918,-42.7,4.962,5228.1,39648
-1.8,93.075,-47.1,1.41,5099.1,23724
1.1,93.994,-36.4,4.857,5191.0,3426
1.4,93.444,-36.1,4.963,5228.1,34060
-1.1,94.767,-50.8,1.048,4963.6,22152
1.4,93.444,-36.1,4.963,5228.1,5064
-1.8,92.893,-46.2,1.344,5099.1,26615
1.4,93.444,-36.1,4.967,5228.1,10994
1.4,93.444,-36.1,4.963,5228.1,15745
1.1,93.994,-36.4,4.857,5191.0,21160
-1.8,92.893,-46.2,1.291,5099.1,40366
-1.7,94.055,-39.8,0.7020000000000001,4991.6,39764
1.1,93.994,-36.4,4.857,5191.0,11840
-1.8,93.075,-47.1,1.445,5099.1,30822
1.1,93.994,-36.4,4.855,5191.0,33519
1.4,93.918,-42.7,4.968,5228.1,38212
1.4,93.444,-36.1,4.966,5228.1,22689
-1.8,92.893,-46.2,1.334,5099.1,19852
1.4,93.444,-36.1,4.964,5228.1,14640
1.1,93.994,-36.4,4.859,5191.0,17092
-0.1,93.2,-42.0,4.191,5195.8,10399
-0.1,93.2,-42.0,4.021,5195.8,40477
1.4,93.444,-36.1,4.964,5228.1,19750
1.4,93.918,-42.7,4.962,5228.1,11349
1.4,93.918,-42.7,4.958,5228.1,33793
1.1,93.994,-36.4,4.857,5191.0,21472
1.4,93.444,-36.1,4.967,5228.1,38246
-3.4,92.431,-26.9,0.754,5017.5,20169
1.4,94.465,-41.8,4.959,5228.1,14932
-0.1,93.2,-42.0,4.021,5195.8,30946
1.1,93.994,-36.4,4.856,5191.0,15948
1.4,94.465,-41.8,4.961,5228.1,36037
1.4,93.444,-36.1,4.964,5228.1,3670
1.4,93.444,-36.1,4.964,5228.1,7741
1.1,93.994,-36.4,4.86,5191.0,39325
1.4,93.918,-42.7,4.968,5228.1,245
1.4,93.918,-42.7,4.961,5228.1,1859
1.4,93.444,-36.1,4.968,5228.1,3763
1.4,93.444,-36.1,4.965,5228.1,31788
1.4,94.465,-41.8,4.959,5228.1,25214
-3.4,92.649,-30.1,0.7140000000000001,5017.5,30308
-1.8,92.893,-46.2,1.244,5099.1,12049
