contact,month,day_of_week,campaign,pdays,previous_stat,poutcome,id
cellular,aug,mon,2,999,0,nonexistent,35704
telephone,may,wed,8,999,1,failure,16354
cellular,jul,wed,4,999,0,nonexistent,10501
cellular,jul,fri,8,999,0,nonexistent,26419
telephone,jun,fri,8,999,0,nonexistent,15197
cellular,aug,thu,2,999,0,nonexistent,40154
telephone,jun,thu,1,999,0,nonexistent,20899
cellular,apr,fri,2,999,0,nonexistent,3
telephone,may,tue,4,999,0,nonexistent,30607
cellular,may,mon,2,11,1,success,16762
telephone,jun,mon,1,999,0,nonexistent,11592
cellular,jul,wed,1,999,0,nonexistent,30301
cellular,jul,tue,2,999,0,nonexistent,27778
cellular,apr,tue,6,999,1,failure,29245
cellular,aug,tue,3,999,0,nonexistent,22410
cellular,aug,wed,10,999,0,nonexistent,3780
telephone,may,fri,1,999,0,nonexistent,40619
cellular,jul,mon,3,999,0,nonexistent,34665
telephone,jun,wed,2,999,0,nonexistent,18564
telephone,may,wed,2,999,0,nonexistent,15937
cellular,apr,tue,1,999,0,nonexistent,14933
cellular,mar,mon,1,6,2,success,35441
cellular,aug,wed,1,999,0,nonexistent,27652
cellular,oct,thu,2,999,0,nonexistent,23828
cellular,jul,tue,2,999,0,nonexistent,946
cellular,apr,wed,2,999,0,nonexistent,21050
cellular,may,tue,2,999,0,nonexistent,4931
cellular,aug,fri,1,999,0,nonexistent,11133
cellular,sep,thu,1,999,1,failure,10718
telephone,may,mon,1,999,0,nonexistent,4176
cellular,may,wed,1,999,0,nonexistent,36162
cellular,aug,tue,3,999,0,nonexistent,40025
cellular,aug,tue,4,999,0,nonexistent,26422
cellular,may,fri,2,999,0,nonexistent,31479
cellular,may,tue,1,999,2,failure,29583
cellular,jul,thu,9,999,0,nonexistent,34201
cellular,jul,thu,4,999,1,failure,33864
telephone,may,wed,2,999,0,nonexistent,12926
cellular,aug,tue,1,999,0,nonexistent,9946
cellular,aug,tue,1,999,0,nonexistent,30705
cellular,apr,thu,1,999,1,failure,23455
cellular,may,thu,1,6,1,success,9395
cellular,mar,mon,8,999,0,nonexistent,37043
telephone,may,tue,1,999,0,nonexistent,6598
cellular,jul,wed,1,999,0,nonexistent,20514
telephone,jun,mon,2,999,0,nonexistent,22798
telephone,may,thu,2,999,0,nonexistent,39751
cellular,aug,wed,2,999,0,nonexistent,9299
telephone,jul,tue,9,999,0,nonexistent,11828
telephone,may,fri,1,999,0,nonexistent,34328
cellular,may,fri,1,999,1,failure,10137
telephone,may,fri,1,999,0,nonexistent,37726
cellular,aug,fri,9,999,0,nonexistent,32770
cellular,aug,mon,2,999,0,nonexistent,7840
cellular,jul,mon,2,999,0,nonexistent,3428
telephone,may,thu,2,999,0,nonexistent,36059
cellular,may,thu,1,999,1,failure,8724
cellular,may,wed,2,999,0,nonexistent,1389
telephone,may,fri,2,999,0,nonexistent,22859
telephone,may,thu,2,999,0,nonexistent,39353
cellular,jul,mon,7,999,0,nonexistent,40055
cellular,jul,wed,1,999,0,nonexistent,21713
cellular,jul,thu,1,999,0,nonexistent,6403
cellular,nov,wed,1,999,0,nonexistent,5450
cellular,jul,mon,6,999,0,nonexistent,39648
cellular,apr,thu,3,999,0,nonexistent,23724
telephone,may,fri,27,999,0,nonexistent,3426
cellular,aug,tue,1,999,0,nonexistent,34060
cellular,nov,wed,1,999,0,nonexistent,22152
cellular,aug,thu,3,999,0,nonexistent,5064
cellular,may,tue,9,999,1,failure,26615
cellular,aug,wed,2,999,0,nonexistent,10994
cellular,aug,tue,4,999,0,nonexistent,15745
telephone,may,tue,7,999,0,nonexistent,21160
cellular,may,tue,4,999,0,nonexistent,40366
telephone,jun,tue,1,999,1,failure,39764
telephone,may,mon,1,999,0,nonexistent,11840
cellular,apr,wed,1,999,0,nonexistent,30822
telephone,may,thu,2,999,0,nonexistent,33519
cellular,jul,thu,3,999,0,nonexistent,38212
cellular,aug,tue,4,999,0,nonexistent,22689
cellular,may,wed,2,999,1,failure,19852
cellular,aug,wed,1,999,0,nonexistent,14640
telephone,may,fri,3,999,0,nonexistent,17092
cellular,nov,mon,1,999,0,nonexistent,10399
cellular,nov,fri,4,999,0,nonexistent,40477
cellular,aug,wed,1,999,0,nonexistent,19750
telephone,jul,thu,4,999,0,nonexistent,11349
cellular,jul,thu,1,999,0,nonexistent,33793
telephone,may,fri,2,999,0,nonexistent,21472
cellular,aug,wed,3,999,0,nonexistent,38246
cellular,oct,thu,1,999,0,nonexistent,20169
telephone,jun,fri,4,999,0,nonexistent,14932
cellular,nov,fri,3,999,0,nonexistent,30946
telephone,may,tue,2,999,0,nonexistent,15948
telephone,jun,mon,1,999,0,nonexistent,36037
cellular,aug,fri,5,999,0,nonexistent,3670
cellular,aug,wed,2,999,0,nonexistent,7741
telephone,may,thu,2,999,0,nonexistent,39325
cellular,jul,thu,2,999,0,nonexistent,245
cellular,jul,tue,2,999,0,nonexistent,1859
cellular,aug,tue,1,999,0,nonexistent,3763
cellular,aug,mon,2,999,0,nonexistent,31788
telephone,jun,wed,4,999,0,nonexistent,25214
cellular,nov,fri,5,3,1,success,30308
cellular,may,mon,1,999,0,nonexistent,12049
telephone,jun,wed,1,999,0,nonexistent,39678
cellular,apr,fri,3,999,0,nonexistent,16064
telephone,may,fri,1,999,0,nonexistent,37289
cellular,nov,wed,1,999,1,failure,8052
cellular,may,tue,1,999,1,failure,2603
cellular,may,wed,7,999,0,nonexistent,5742
cellular,nov,thu,1,999,0,nonexistent,20697
cellular,nov,tue,2,999,0,nonexistent,37024
telephone,jun,wed,4,999,0,nonexistent,20053
telephone,jun,mon,1,999,0,nonexistent,27630
telephone,may,wed,2,999,0,nonexistent,22650
telephone,apr,fri,1,999,1,failure,34634
cellular,may,thu,3,999,0,nonexistent,26654
cellular,nov,thu,2,999,1,failure,791
cellular,mar,tue,1,999,0,nonexistent,33012
cellular,aug,fri,5,999,0,nonexistent,36123
telephone,may,wed,1,999,0,nonexistent,11731
cellular,aug,tue,1,999,0,nonexistent,9005
telephone,may,wed,1,999,0,nonexistent,10926
cellular,mar,thu,2,999,0,nonexistent,4549
telephone,jul,thu,4,999,0,nonexistent,39889
cellular,nov,wed,1,999,0,nonexistent,32533
telephone,jun,fri,1,999,0,nonexistent,10067
telephone,may,thu,3,999,0,nonexistent,12003
telephone,may,mon,2,999,0,nonexistent,30408
cellular,may,mon,1,999,0,nonexistent,33915
cellular,aug,thu,1,999,0,nonexistent,15419
cellular,nov,tue,2,999,1,failure,36733
telephone,may,fri,6,999,0,nonexistent,31177
telephone,may,mon,2,999,0,nonexistent,15274
cellular,apr,fri,2,999,0,nonexistent,27328
cellular,may,wed,1,999,0,nonexistent,35860
cellular,mar,tue,1,999,0,nonexistent,15420
cellular,may,wed,1,999,1,failure,22109
cellular,apr,wed,1,999,0,nonexistent,33079
cellular,aug,tue,3,999,0,nonexistent,14080
telephone,jul,tue,1,999,0,nonexistent,36948
cellular,aug,mon,1,999,2,failure,24148
telephone,jun,wed,5,999,0,nonexistent,36846
cellular,jul,thu,1,999,0,nonexistent,17073
telephone,jun,wed,1,999,0,nonexistent,18152
telephone,jun,fri,8,999,0,nonexistent,17426
cellular,nov,fri,2,999,0,nonexistent,5596
