age,job,marital,education,default,housing,loan,id
38,admin.,divorced,university.degree,no,yes,no,35704
33,services,single,basic.6y,unknown,yes,yes,16354
40,blue-collar,married,basic.4y,unknown,yes,no,10501
56,blue-collar,married,basic.9y,unknown,no,no,26419
56,technician,divorced,basic.9y,no,yes,no,15197
60,self-employed,divorced,university.degree,no,no,no,40154
50,admin.,married,university.degree,no,no,no,20899
39,services,married,high.school,no,no,no,3
58,unemployed,married,basic.4y,unknown,no,no,30607
34,blue-collar,married,basic.9y,no,yes,no,16762
55,blue-collar,married,professional.course,unknown,yes,yes,11592
30,services,married,high.school,unknown,yes,no,30301
32,services,single,unknown,unknown,yes,yes,27778
36,admin.,married,university.degree,no,no,no,29245
32,admin.,married,high.school,no,yes,yes,22410
54,admin.,married,high.school,no,no,no,3780
28,admin.,single,university.degree,no,yes,no,40619
44,blue-collar,single,basic.6y,unknown,yes,no,34665
25,admin.,married,high.school,no,yes,no,18564
39,admin.,married,high.school,unknown,yes,no,15937
45,services,married,high.school,no,yes,no,14933
33,admin.,single,university.degree,no,no,no,35441
49,housemaid,married,basic.4y,unknown,yes,no,27652
28,admin.,single,university.degree,no,yes,no,23828
26,blue-collar,married,basic.9y,unknown,no,no,946
56,blue-collar,married,basic.9y,unknown,yes,no,21050
28,blue-collar,married,high.school,no,unknown,unknown,4931
39,technician,married,university.degree,unknown,no,no,11133
37,admin.,married,high.school,no,yes,no,10718
41,admin.,married,high.school,no,no,yes,4176
32,services,married,basic.9y,no,yes,no,36162
41,unknown,married,unknown,no,yes,no,40025
39,self-employed,married,basic.9y,no,no,no,26422
43,services,divorced,professional.course,no,no,no,31479
29,admin.,single,university.degree,no,yes,yes,29583
54,technician,married,basic.9y,no,no,yes,34201
31,technician,single,university.degree,no,no,no,33864
52,technician,married,professional.course,no,yes,no,12926
54,admin.,single,university.degree,unknown,yes,no,9946
47,admin.,divorced,university.degree,no,yes,yes,30705
32,blue-collar,married,basic.9y,no,yes,no,23455
23,admin.,single,high.school,no,yes,no,9395
34,technician,single,university.degree,no,no,no,37043
38,technician,married,professional.course,no,yes,no,6598
31,blue-collar,single,high.school,no,no,no,20514
45,services,married,basic.9y,no,no,no,22798
30,blue-collar,married,basic.4y,unknown,yes,no,39751
31,admin.,single,university.degree,no,yes,no,9299
47,admin.,married,university.degree,no,no,no,11828
39,technician,married,university.degree,unknown,yes,no,34328
36,admin.,married,basic.9y,no,no,no,10137
51,blue-collar,single,basic.4y,unknown,no,no,37726
30,admin.,divorced,university.degree,no,yes,no,32770
38,technician,divorced,high.school,unknown,no,no,7840
55,technician,married,professional.course,unknown,no,no,3428
44,blue-collar,married,basic.4y,unknown,no,no,36059
34,self-employed,married,high.school,no,yes,no,8724
33,blue-collar,married,basic.9y,no,yes,no,1389
28,technician,single,professional.course,no,no,no,22859
30,services,single,high.school,no,no,no,39353
40,self-employed,married,high.school,no,yes,no,40055
48,technician,divorced,professional.course,no,yes,yes,21713
44,blue-collar,divorced,professional.course,no,yes,yes,6403
40,self-employed,married,university.degree,no,no,no,5450
51,blue-collar,married,basic.4y,unknown,yes,no,39648
47,entrepreneur,married,university.degree,no,no,no,23724
49,blue-collar,married,basic.9y,unknown,yes,no,3426
29,management,single,university.degree,no,no,yes,34060
31,admin.,single,university.degree,no,yes,no,22152
34,technician,married,professional.course,unknown,yes,no,5064
28,services,single,unknown,no,yes,no,26615
46,blue-collar,divorced,professional.course,no,yes,no,10994
52,admin.,married,high.school,no,yes,no,15745
53,entrepreneur,single,basic.9y,no,no,no,21160
27,services,married,high.school,no,no,yes,40366
20,technician,single,professional.course,no,yes,no,39764
57,admin.,married,university.degree,no,no,yes,11840
34,services,married,high.school,no,yes,no,30822
28,services,single,high.school,no,no,no,33519
33,technician,single,professional.course,no,no,no,38212
36,admin.,single,university.degree,no,no,yes,22689
39,blue-collar,married,basic.6y,no,no,no,19852
29,technician,single,university.degree,no,no,no,14640
31,admin.,single,basic.9y,no,yes,no,17092
58,management,divorced,university.degree,no,yes,no,10399
35,admin.,divorced,university.degree,no,yes,no,40477
48,blue-collar,married,basic.4y,unknown,yes,no,19750
26,technician,single,university.degree,no,no,no,11349
41,entrepreneur,divorced,basic.9y,no,yes,yes,33793
38,housemaid,married,basic.6y,unknown,yes,no,21472
42,management,married,high.school,no,no,no,38246
54,management,divorced,university.degree,unknown,yes,no,20169
56,technician,married,unknown,no,no,yes,14932
32,admin.,divorced,university.degree,no,yes,no,30946
46,admin.,married,high.school,no,yes,no,15948
26,services,single,high.school,no,yes,no,36037
49,admin.,divorced,university.degree,unknown,yes,yes,3670
32,admin.,divorced,university.degree,no,no,yes,7741
36,blue-collar,married,basic.9y,no,yes,no,39325
37,blue-collar,divorced,basic.9y,no,yes,no,245
35,admin.,married,high.school,no,no,no,1859
48,blue-collar,married,basic.9y,unknown,yes,no,3763
47,technician,married,high.school,unknown,yes,yes,31788
47,technician,single,unknown,no,yes,no,25214
25,admin.,single,university.degree,no,no,no,30308
41,management,married,high.school,no,no,no,12049
31,admin.,married,high.school,no,yes,no,39678
41,admin.,single,high.school,no,no,no,16064
38,self-employed,single,university.degree,no,no,no,37289
33,management,married,university.degree,no,no,yes,8052
36,admin.,divorced,high.school,no,no,no,2603
40,blue-collar,single,basic.9y,no,yes,yes,5742
32,admin.,divorced,university.degree,no,yes,no,20697
47,management,married,university.degree,no,no,no,37024
31,housemaid,married,basic.4y,unknown,yes,no,20053
37,technician,married,professional.course,unknown,no,yes,27630
28,admin.,single,high.school,no,no,no,22650
53,blue-collar,married,basic.9y,no,no,yes,34634
31,management,single,university.degree,no,yes,yes,26654
30,admin.,single,basic.9y,no,no,no,791
50,admin.,divorced,university.degree,no,yes,no,33012
32,admin.,divorced,university.degree,no,no,no,36123
42,admin.,married,high.school,no,yes,no,11731
33,technician,married,professional.course,no,yes,no,9005
44,blue-collar,married,basic.9y,unknown,unknown,unknown,10926
36,management,married,university.degree,no,no,no,4549
52,housemaid,single,basic.4y,no,yes,no,39889
37,technician,single,professional.course,no,yes,no,32533
41,management,married,high.school,no,unknown,unknown,10067
33,admin.,single,high.school,no,unknown,unknown,12003
35,blue-collar,married,unknown,no,yes,no,30408
47,services,married,high.school,no,no,no,33915
39,housemaid,married,basic.4y,no,no,no,15419
33,entrepreneur,married,high.school,no,no,no,36733
43,admin.,divorced,high.school,no,yes,no,31177
46,blue-collar,married,basic.4y,no,unknown,unknown,15274
41,admin.,married,high.school,no,no,yes,27328
28,self-employed,single,university.degree,no,yes,no,35860
47,self-employed,divorced,university.degree,no,no,no,15420
29,admin.,single,university.degree,no,yes,no,22109
66,retired,divorced,basic.4y,no,yes,no,33079
35,admin.,married,university.degree,no,yes,no,14080
56,retired,married,basic.4y,no,yes,no,36948
40,admin.,married,university.degree,no,yes,no,24148
54,housemaid,married,basic.4y,unknown,no,no,36846
32,technician,married,high.school,no,no,no,17073
31,services,single,high.school,no,yes,yes,18152
59,retired,married,basic.9y,unknown,no,no,17426
