id,date,product,price,quantity
1,1635033600000.0,Lettuce - Boston Bib - Organic,8.8,1
2,1634774400000.0,Wine - Cave Springs Dry Riesling,10.2,3
3,1634515200000.0,Cookie Dough - Peanut Butter,10.9,1
4,1634601600000.0,Triple Sec - Mcguinness,14.2,5
5,1634947200000.0,Beer - Sleemans Honey Brown,16.8,5
6,1634515200000.0,Syrup - Kahlua Chocolate,8.1,5
7,1634515200000.0,Cake - Cake Sheet Macaroon,18.0,3
8,1634515200000.0,Cherries - Frozen,5.5,2
9,1634860800000.0,Devonshire Cream,15.9,2
10,1634860800000.0,Pur Source,7.9,3
11,1634774400000.0,Leeks - Large,12.2,4
12,1634515200000.0,Tea - Apple Green Tea,1.6,4
13,1634688000000.0,Artichoke - Fresh,1.0,1
14,1635033600000.0,Beets - Golden,2.6,2
15,1634515200000.0,Oneshot Automatic Soap System,16.1,2
16,1634601600000.0,Veal - Sweetbread,14.0,5
17,1634774400000.0,Latex Rubber Gloves Size 9,13.0,3
18,1635033600000.0,Trueblue - Blueberry 12x473ml,10.4,5
19,1634860800000.0,Pea - Snow,13.1,1
20,1634947200000.0,Pork - Side Ribs,14.4,3
21,1634688000000.0,Ecolab - Ster Bac,18.7,3
22,1634947200000.0,Lamb Shoulder Boneless Nz,18.3,5
23,1634515200000.0,"Butter - Salted, Micro",17.6,1
24,1634515200000.0,Appetizer - Chicken Satay,14.7,5
25,1635033600000.0,Zucchini - Yellow,11.5,3
26,1634774400000.0,Wine - Malbec Trapiche Reserve,5.6,3
27,1634860800000.0,Nescafe - Frothy French Vanilla,12.9,3
28,1634860800000.0,"Red Snapper - Fresh, Whole",14.5,1
29,1634688000000.0,Beef - Diced,6.0,2
30,1634774400000.0,Cookie Dough - Oatmeal Rasin,3.5,3
31,1634688000000.0,Cake Slab,10.5,1
32,1634515200000.0,Goulash Seasoning,8.3,3
33,1634601600000.0,Anisette - Mcguiness,14.8,5
34,1634601600000.0,Towel Dispenser,14.2,4
35,1634947200000.0,Chips - Miss Vickies,19.3,5
36,1634515200000.0,Bagelers - Cinn / Brown Sugar,4.5,4
37,1634601600000.0,Beef - Short Loin,16.7,4
38,1634601600000.0,Dried Cherries,8.1,4
39,1634515200000.0,Appetizer - Shrimp Puff,18.5,1
40,1634774400000.0,Extract - Almond,18.8,4
41,1635033600000.0,Sauce - Oyster,3.8,1
42,1634774400000.0,Container - Hngd Cll Blk 7x7x3,4.9,1
43,1635033600000.0,Yoplait Drink,13.5,4
44,1634601600000.0,Wine - Taylors Reserve,15.1,4
45,1634688000000.0,Juice - Mango,14.8,1
46,1634688000000.0,"Soup - Knorr, Chicken Noodle",3.7,5
47,1634515200000.0,"Pepper - Paprika, Hungarian",14.3,1
48,1635033600000.0,Yoghurt Tubes,3.4,1
49,1634947200000.0,"Pork - Loin, Bone - In",8.9,3
50,1634601600000.0,Oil - Peanut,6.4,4
51,1634515200000.0,"Vermacelli - Sprinkles, Assorted",10.1,1
52,1634688000000.0,Higashimaru Usukuchi Soy,10.3,5
53,1634515200000.0,Sole - Iqf,8.2,1
54,1634688000000.0,Wine - Black Tower Qr,19.5,2
55,1634601600000.0,Beef - Top Butt,19.4,4
56,1634774400000.0,"Placemat - Scallop, White",4.8,4
57,1634515200000.0,Muffin Orange Individual,4.5,1
58,1634601600000.0,"Beans - Turtle, Black, Dry",3.6,1
59,1634860800000.0,Sea Bass - Whole,18.1,1
60,1634688000000.0,Extract - Lemon,16.5,4
61,1634515200000.0,"Red Snapper - Fresh, Whole",11.6,3
62,1634515200000.0,Turkey Tenderloin Frozen,9.5,1
63,1634515200000.0,Pork - Back Ribs,11.6,3
64,1634601600000.0,"Bread - Roll, Italian",6.0,1
65,1635033600000.0,"Lamb - Whole, Frozen",11.0,2
66,1634601600000.0,Melon - Cantaloupe,7.2,1
67,1634774400000.0,"Lamb - Pieces, Diced",15.8,4
68,1635033600000.0,Cherries - Fresh,6.7,2
69,1634947200000.0,Gelatine Leaves - Bulk,15.6,5
70,1634601600000.0,Monkfish - Fresh,19.4,1
71,1634947200000.0,Beef - Short Loin,17.0,1
72,1634515200000.0,Chinese Lemon Pork,3.3,2
73,1635033600000.0,Compound - Rum,10.7,1
74,1634515200000.0,Oven Mitt - 13 Inch,19.0,1
75,1634860800000.0,Bread - White Mini Epi,5.7,3
76,1634860800000.0,Appetizer - Seafood Assortment,5.3,2
77,1634688000000.0,The Pop Shoppe - Cream Soda,11.1,3
78,1634774400000.0,Soup - Campbellschix Stew,2.9,1
79,1634688000000.0,Higashimaru Usukuchi Soy,3.3,2
80,1634947200000.0,Rice - Jasmine Sented,12.7,5
81,1634860800000.0,Sardines,16.0,4
82,1634860800000.0,Dried Cherries,13.1,5
83,1634947200000.0,Pepper - Orange,1.4,5
84,1634515200000.0,"Juice - Clamato, 341 Ml",3.0,3
85,1635033600000.0,Soap - Mr.clean Floor Soap,12.4,3
86,1635033600000.0,Table Cloth 62x120 White,13.3,1
87,1635033600000.0,Bread - Rye,8.4,5
88,1635033600000.0,Lettuce - Baby Salad Greens,19.9,2
89,1634860800000.0,Pie Pecan,6.9,4
90,1634774400000.0,"Oregano - Dry, Rubbed",17.1,4
91,1634601600000.0,Wine - Tio Pepe Sherry Fino,10.5,1
92,1634860800000.0,Wine - Riesling Alsace Ac 2001,3.6,1
93,1635033600000.0,Yoghurt Tubes,18.7,2
94,1634774400000.0,Longos - Lasagna Beef,7.9,1
95,1634515200000.0,Coriander - Seed,18.8,3
96,1634515200000.0,Foil - Round Foil,7.7,4
97,1634688000000.0,Pepperoni Slices,11.2,5
98,1634515200000.0,Cheese - Fontina,14.0,4
99,1634688000000.0,"Pasta - Fett Alfredo, Single Serve",2.7,2
100,1634515200000.0,Rice - Wild,3.1,2
101,1634601600000.0,Ham - Cooked Italian,14.2,1
102,1634860800000.0,"Placemat - Scallop, White",9.5,3
103,1634947200000.0,Bread - Kimel Stick Poly,3.5,2
104,1634688000000.0,"Salmon - Atlantic, Fresh, Whole",12.2,3
105,1634860800000.0,Tea - Herbal Sweet Dreams,7.7,1
106,1634601600000.0,Horseradish - Prepared,18.5,4
107,1634601600000.0,"Quail - Whole, Bone - In",5.9,4
108,1634515200000.0,Soup - Verve - Chipotle Chicken,9.7,1
109,1635033600000.0,Crackers - Melba Toast,19.0,2
110,1634860800000.0,"Mushrooms - Black, Dried",15.8,2
111,1634860800000.0,"Pasta - Shells, Medium, Dry",4.7,5
112,1634774400000.0,Crackers - Melba Toast,7.6,4
113,1634774400000.0,"Octopus - Baby, Cleaned",2.4,4
114,1634774400000.0,Coffee - Egg Nog Capuccino,9.5,1
115,1634774400000.0,Sesame Seed,11.5,3
116,1634774400000.0,"Soup - Knorr, Country Bean",11.0,2
117,1634515200000.0,"Brandy - Orange, Mc Guiness",7.5,5
118,1634947200000.0,"Water, Tap",13.9,1
119,1634601600000.0,Wine - Magnotta - Cab Sauv,9.7,3
120,1634774400000.0,Wine - Cava Aria Estate Brut,17.0,5
121,1634947200000.0,"Bread - Rolls, Corn",19.7,2
122,1634688000000.0,Wine - Jackson Triggs Okonagan,14.2,3
123,1634774400000.0,Cocoa Feuilletine,12.3,4
124,1634601600000.0,Ham - Proscuitto,2.1,3
125,1634601600000.0,Muffin Mix - Carrot,15.4,1
126,1634860800000.0,Clam - Cherrystone,19.3,3
